zone,weight,source
Z1_1,0.023,"Author estimate: ONS mid-2022 population (millions) of the areas inside the zone polygon"
Z1_2,0.026,"Author estimate: ONS mid-2022 population (millions)"
Z1_3,0.10,"Author estimate: ONS mid-2022 population (millions)"
Z1_4,0.20,"Author estimate: ONS mid-2022 population (millions)"
Z2,0.70,"Author estimate: ONS mid-2022 population (millions)"
Z3,0.30,"Author estimate: ONS mid-2022 population (millions)"
Z4,0.09,"Author estimate: ONS mid-2022 population (millions)"
Z5,3.60,"Author estimate: ONS mid-2022 population (millions)"
Z6,0.50,"Author estimate: ONS mid-2022 population (millions)"
Z7,3.20,"Author estimate: ONS mid-2022 population (millions)"
Z8,5.50,"Author estimate: ONS mid-2022 population (millions)"
Z9,7.50,"Author estimate: ONS mid-2022 population (millions)"
Z10,2.50,"Author estimate: ONS mid-2022 population (millions)"
Z11,7.40,"Author estimate: ONS mid-2022 population (millions)"
Z12,7.10,"Author estimate: ONS mid-2022 population (millions)"
Z13,3.80,"Author estimate: ONS mid-2022 population (millions)"
Z14,8.80,"Author estimate: ONS mid-2022 population (millions)"
Z15,3.50,"Author estimate: ONS mid-2022 population (millions)"
Z16,5.70,"Author estimate: ONS mid-2022 population (millions)"
Z17,3.20,"Author estimate: ONS mid-2022 population (millions)"
