zone,technology,status,p_nom_mw
Z10,battery,operational,59.0
Z11,battery,operational,417.59999999999997
Z12,battery,operational,420.16
Z13,battery,operational,632.84
Z14,battery,operational,146.7
Z15,battery,operational,686.58
Z16,battery,operational,265.5
Z17,battery,operational,145.7
Z1_1,battery,operational,1.0
Z1_3,battery,operational,7.0
Z1_4,battery,operational,50.0
Z2,battery,operational,51.0
Z3,battery,operational,233.7
Z5,battery,operational,579.88
Z7,battery,operational,137.9
Z8,battery,operational,590.0
Z9,battery,operational,521.79
Z10,battery,under_construction,530.0
Z11,battery,under_construction,637.0
Z12,battery,under_construction,797.0
Z13,battery,under_construction,523.08
Z14,battery,under_construction,52.0
Z15,battery,under_construction,428.4
Z16,battery,under_construction,130.99
Z17,battery,under_construction,98.4
Z1_1,battery,under_construction,70.0
Z1_3,battery,under_construction,34.0
Z2,battery,under_construction,422.9
Z3,battery,under_construction,109.8
Z5,battery,under_construction,2537.8
Z6,battery,under_construction,1139.9
Z7,battery,under_construction,20.0
Z8,battery,under_construction,752.15
Z9,battery,under_construction,1423.6
Z10,offwind,operational,1256.7
Z12,offwind,operational,4819.8
Z15,offwind,operational,1069.5
Z16,offwind,operational,400.0
Z1_3,offwind,operational,1480.0
Z2,offwind,operational,1126.3
Z3,offwind,operational,1075.0
Z5,offwind,operational,457.0
Z6,offwind,operational,174.0
Z7,offwind,operational,103.5
Z8,offwind,operational,1320.0
Z9,offwind,operational,2729.2
Z12,offwind,under_construction,5755.0
Z1_3,offwind,under_construction,10.0
Z3,offwind,under_construction,1080.0
Z7,offwind,under_construction,2400.0
Z8,offwind,under_construction,2600.0
Z10,onwind,operational,138.6
Z11,onwind,operational,257.9
Z12,onwind,operational,403.4
Z13,onwind,operational,937.0
Z14,onwind,operational,13.600000000000001
Z15,onwind,operational,71.8
Z16,onwind,operational,69.3
Z17,onwind,operational,247.3
Z1_1,onwind,operational,454.2
Z1_2,onwind,operational,37.8
Z1_3,onwind,operational,1240.7
Z1_4,onwind,operational,1075.1
Z2,onwind,operational,854.1
Z3,onwind,operational,615.05
Z4,onwind,operational,273.0
Z5,onwind,operational,3560.25
Z6,onwind,operational,2105.1
Z7,onwind,operational,607.85
Z8,onwind,operational,662.9
Z9,onwind,operational,667.7
Z13,onwind,under_construction,30.3
Z17,onwind,under_construction,5.2
Z1_3,onwind,under_construction,392.9
Z1_4,onwind,under_construction,49.9
Z2,onwind,under_construction,50.2
Z3,onwind,under_construction,20.7
Z4,onwind,under_construction,49.9
Z5,onwind,under_construction,795.6
Z6,onwind,under_construction,617.6
Z1_4,pumped_hydro,operational,300.0
Z3,pumped_hydro,operational,440.0
Z9,pumped_hydro,operational,2088.0
Z10,solar,operational,556.7
Z11,solar,operational,1290.32
Z12,solar,operational,1967.92
Z13,solar,operational,2314.79
Z14,solar,operational,127.50999999999999
Z15,solar,operational,801.11
Z16,solar,operational,883.96
Z17,solar,operational,1885.45
Z1_3,solar,operational,0.2
Z1_4,solar,operational,0.3
Z2,solar,operational,11.1
Z3,solar,operational,46.53
Z5,solar,operational,26.62
Z7,solar,operational,117.39
Z8,solar,operational,474.23
Z9,solar,operational,418.72
Z10,solar,under_construction,399.15
Z11,solar,under_construction,481.54
Z12,solar,under_construction,361.03
Z13,solar,under_construction,533.17
Z14,solar,under_construction,66.03
Z15,solar,under_construction,197.09
Z16,solar,under_construction,256.25
Z17,solar,under_construction,203.07
Z1_3,solar,under_construction,0.5
Z2,solar,under_construction,79.83
Z3,solar,under_construction,5.0
Z4,solar,under_construction,2.1
Z5,solar,under_construction,131.94
Z7,solar,under_construction,185.5
Z8,solar,under_construction,219.69
Z9,solar,under_construction,91.27
