component,carrier,gbp_per_yr,kind,is_memo,note
Generator,gas,669499514.89,capex,False,
Generator,gas_ccs,1647.13,capex,False,
Generator,offwind,3863627200.00,capex,False,
Generator,onwind,3355495995.67,capex,False,
Generator,solar,3547035892.25,capex,False,
Link,h2_turbine,124.11,capex,False,
StorageUnit,battery,9002448.60,capex,False,
Generator,blue_h2,350000028.71,opex,False,
Generator,export,-1952061944.21,opex,False,
Generator,gas,1425745960.55,opex,False,
Generator,gas_ccs,2034.45,opex,False,
Generator,import,2946469129.23,opex,False,
Generator,nuclear,284568432.72,opex,False,
Generator,offwind,3193828.76,opex,False,
Generator,onwind,166145876.91,opex,False,
Link,h2_turbine,1.03,opex,False,
StorageUnit,battery,747878.97,opex,False,
memo,all,10046346698.31,memo_lp_objective,True,not additive with component rows
memo,all,4623127351.46,memo_fixed_asset_fom,True,not additive with component rows
memo,all,14669474049.78,total,True,not additive with component rows
