metric,zone,value
shadow_carbon_price_gbp_per_t,GB,32.6087
demand_weighted_price_gbp_per_mwh,Z10,62.402
demand_weighted_price_gbp_per_mwh,Z11,62.4021
demand_weighted_price_gbp_per_mwh,Z12,62.402
demand_weighted_price_gbp_per_mwh,Z13,62.402
demand_weighted_price_gbp_per_mwh,Z14,62.402
demand_weighted_price_gbp_per_mwh,Z15,62.402
demand_weighted_price_gbp_per_mwh,Z16,62.402
demand_weighted_price_gbp_per_mwh,Z17,62.1262
demand_weighted_price_gbp_per_mwh,Z1_1,62.3645
demand_weighted_price_gbp_per_mwh,Z1_2,62.3645
demand_weighted_price_gbp_per_mwh,Z1_3,62.3645
demand_weighted_price_gbp_per_mwh,Z1_4,62.3645
demand_weighted_price_gbp_per_mwh,Z2,62.3645
demand_weighted_price_gbp_per_mwh,Z3,62.3812
demand_weighted_price_gbp_per_mwh,Z4,62.3812
demand_weighted_price_gbp_per_mwh,Z5,62.3812
demand_weighted_price_gbp_per_mwh,Z6,62.3812
demand_weighted_price_gbp_per_mwh,Z7,62.3812
demand_weighted_price_gbp_per_mwh,Z8,62.3812
demand_weighted_price_gbp_per_mwh,Z9,62.3812
demand_weighted_price_gbp_per_mwh,Teesside H2,70.6522
