link,bus0,bus1,p_nom_existing_mw,p_nom_new_mw,p_nom_total_mw,twh_forward,twh_reverse,max_utilisation,hours_congested_share
Z1_3-Z1_1,Z1_3,Z1_1,3500,0,3500,0.00314993,4.91032,0.418358,0
Z1_3-Z1_2,Z1_3,Z1_2,3500,0,3500,1.7733,0.0758908,0.196681,0
Z2-Z1_3,Z2,Z1_3,6000,0,6000,0.000313242,20.032,0.946662,0
Z7-Z2,Z7,Z2,6000,0,6000,0.0305934,23.7673,0.999805,0.0222603
Z9-Z3,Z9,Z3,8000,0,8000,0.326639,23.723,0.99976,0.00616438
Z1_4-Z1_2,Z1_4,Z1_2,2000,0,2000,7.30868e-05,5.02615,0.634031,0
Z1_4-Z1_3,Z1_4,Z1_3,3000,0,3000,0.000433798,6.72392,0.596376,0
Z2-Z1_4,Z2,Z1_4,4000,0,4000,0.00298197,13.3112,0.982578,0
Z3-Z2,Z3,Z2,6000,0,6000,0.00628683,16.0544,0.98865,0
Z4-Z3,Z4,Z3,8000,0,8000,4.58513,0.0443754,0.13414,0
Z5-Z3,Z5,Z3,8000,0,8000,0.960501,8.5394,0.477791,0
Z6-Z5,Z6,Z5,8000,0,8000,3.68779,1.05279,0.28583,0
Z7-Z6,Z7,Z6,8000,0,8000,3.24687,6.46241,0.566858,0
Z8-Z7,Z8,Z7,6000,0,6000,2.01192,11.4859,0.997597,0.000342466
Z9-Z7,Z9,Z7,6000,0,6000,0.157625,15.4981,0.999226,0.000342466
Z9-Z8,Z9,Z8,6000,0,6000,0.640427,6.50454,0.677867,0
Z10-Z8,Z10,Z8,8000,0,8000,2.85659,13.68,1,0.00273973
Z11-Z9,Z11,Z9,8000,0,8000,3.0433,20.8646,1,0.0273973
Z11-Z10,Z11,Z10,8000,0,8000,0.000908933,13.4092,0.527164,0
Z12-Z10,Z12,Z10,8000,0,8000,1.88894,10.9151,0.894965,0
Z12-Z11,Z12,Z11,8000,0,8000,6.98081,2.59871,0.727451,0
Z13-Z11,Z13,Z11,5000,0,5000,9.50978,4.47879,0.979641,0
Z13-Z12,Z13,Z12,5000,0,5000,5.39023,4.02869,0.966339,0
Z14-Z12,Z14,Z12,10000,0,10000,0.00172063,25.7454,0.882407,0
Z15-Z12,Z15,Z12,6000,0,6000,1.06923,16.3603,0.987744,0
Z15-Z14,Z15,Z14,10000,0,10000,11.1689,1.47145,0.467137,0
Z16-Z13,Z16,Z13,6000,0,6000,0.0103173,12.7933,0.834926,0
Z16-Z14,Z16,Z14,10000,0,10000,14.4074,0,0.4569,0
Z16-Z15,Z16,Z15,6000,0,6000,6.49377,1.78379,0.895379,0
Z17-Z13,Z17,Z13,4000,0,4000,10.9508,0.43859,1,0.014726
Z17-Z16,Z17,Z16,4000,0,4000,21.6967,0,1,0.014726
