component,carrier,gbp_per_yr,kind,is_memo,note
Generator,gas,814905753.31,capex,False,
Generator,offwind,3863627200.00,capex,False,
Generator,onwind,4158615746.71,capex,False,
Generator,solar,3873194610.63,capex,False,
StorageUnit,battery,126284517.85,capex,False,
Generator,blue_h2,90999994.06,opex,False,
Generator,export,-2126870089.91,opex,False,
Generator,gas,716165016.36,opex,False,
Generator,import,3980862248.04,opex,False,
Generator,nuclear,276617773.10,opex,False,
Generator,offwind,3191109.64,opex,False,
Generator,onwind,189624655.30,opex,False,
StorageUnit,battery,1019016.24,opex,False,
memo,all,11345110199.88,memo_lp_objective,True,not additive with component rows
memo,all,4623127351.46,memo_fixed_asset_fom,True,not additive with component rows
memo,all,15968237551.35,total,True,not additive with component rows
