metric,zone,value
shadow_carbon_price_gbp_per_t,GB,225.589
demand_weighted_price_gbp_per_mwh,Z10,75.6244
demand_weighted_price_gbp_per_mwh,Z11,75.6244
demand_weighted_price_gbp_per_mwh,Z12,75.6244
demand_weighted_price_gbp_per_mwh,Z13,75.6244
demand_weighted_price_gbp_per_mwh,Z14,75.6244
demand_weighted_price_gbp_per_mwh,Z15,75.6244
demand_weighted_price_gbp_per_mwh,Z16,75.6244
demand_weighted_price_gbp_per_mwh,Z17,75.5092
demand_weighted_price_gbp_per_mwh,Z1_1,74.9203
demand_weighted_price_gbp_per_mwh,Z1_2,74.9203
demand_weighted_price_gbp_per_mwh,Z1_3,74.9203
demand_weighted_price_gbp_per_mwh,Z1_4,74.9203
demand_weighted_price_gbp_per_mwh,Z2,74.9203
demand_weighted_price_gbp_per_mwh,Z3,74.9827
demand_weighted_price_gbp_per_mwh,Z4,74.9827
demand_weighted_price_gbp_per_mwh,Z5,74.9827
demand_weighted_price_gbp_per_mwh,Z6,74.9827
demand_weighted_price_gbp_per_mwh,Z7,74.9827
demand_weighted_price_gbp_per_mwh,Z8,74.9827
demand_weighted_price_gbp_per_mwh,Z9,74.9827
demand_weighted_price_gbp_per_mwh,Teesside H2,74.5118
