link,bus0,bus1,p_nom_existing_mw,p_nom_new_mw,p_nom_total_mw,twh_forward,twh_reverse,max_utilisation,hours_congested_share
Z1_3-Z1_1,Z1_3,Z1_1,3500,0,3500,0.00351887,4.728,0.412399,0
Z1_3-Z1_2,Z1_3,Z1_2,3500,0,3500,1.71208,0.0799114,0.184941,0
Z2-Z1_3,Z2,Z1_3,6000,0,6000,0.000120026,19.144,0.952856,0
Z7-Z2,Z7,Z2,6000,0,6000,0.012744,24.995,1,0.00376712
Z9-Z3,Z9,Z3,8000,0,8000,0.0807546,27.9482,0.999187,0.00171233
Z1_4-Z1_2,Z1_4,Z1_2,2000,0,2000,0.00018407,4.816,0.623527,0
Z1_4-Z1_3,Z1_4,Z1_3,3000,0,3000,0.00106242,6.44904,0.580968,0
Z2-Z1_4,Z2,Z1_4,4000,0,4000,0.00752475,12.5937,0.931937,0
Z3-Z2,Z3,Z2,6000,0,6000,0.0132811,17.6357,1,0.00171233
Z4-Z3,Z4,Z3,8000,0,8000,4.54735,0.0479635,0.133893,0
Z5-Z3,Z5,Z3,8000,0,8000,2.17046,6.58027,0.452211,0
Z6-Z5,Z6,Z5,8000,0,8000,5.54575,0.187632,0.349648,0
Z7-Z6,Z7,Z6,8000,0,8000,2.34647,11.5339,0.846339,0
Z8-Z7,Z8,Z7,6000,0,6000,0.769223,15.4454,0.997791,0.000684932
Z9-Z7,Z9,Z7,6000,0,6000,0.00699505,20.1023,0.999999,0.00342466
Z9-Z8,Z9,Z8,6000,0,6000,1.11121,6.44919,0.619437,0
Z10-Z8,Z10,Z8,8000,0,8000,2.85463,17.7026,1,0.0434932
Z11-Z9,Z11,Z9,8000,0,8000,3.97765,22.8564,1,0.069863
Z11-Z10,Z11,Z10,8000,0,8000,0.053143,11.3928,0.497111,0
Z12-Z10,Z12,Z10,8000,0,8000,4.94469,10.3544,0.848609,0
Z12-Z11,Z12,Z11,8000,0,8000,9.07842,3.14851,0.882488,0
Z13-Z11,Z13,Z11,5000,0,5000,9.56332,6.58228,0.999958,0.00684932
Z13-Z12,Z13,Z12,5000,0,5000,3.76526,6.56578,0.999943,0.00136986
Z14-Z12,Z14,Z12,10000,0,10000,0.024066,28.0214,0.901642,0
Z15-Z12,Z15,Z12,6000,0,6000,6.28015,18.8483,0.999999,0.109247
Z15-Z14,Z15,Z14,10000,0,10000,15.8167,2.15652,0.474287,0
Z16-Z13,Z16,Z13,6000,0,6000,1.02972,11.7863,0.98395,0
Z16-Z14,Z16,Z14,10000,0,10000,14.4444,0.000799715,0.430156,0
Z16-Z15,Z16,Z15,6000,0,6000,7.16331,6.37994,0.822058,0
Z17-Z13,Z17,Z13,4000,0,4000,13.2092,1.20014,1,0.0119863
Z17-Z16,Z17,Z16,4000,0,4000,21.4879,0,1,0.0246575
