component,name,carrier,zone,p_nom_opt,p_nom_min,unit,existing
Generator,ic BritNed import,import,Z15,1204.97,0,MW,True
Generator,ic EastWest import,import,Z9,722.981,0,MW,True
Generator,ic Moyle import,import,Z5,722.981,0,MW,True
Generator,ic Nemo import,import,Z15,1204.97,0,MW,True
Generator,ic IFA import,import,Z15,2409.94,0,MW,True
Generator,ic IFA2 import,import,Z16,1204.97,0,MW,True
Generator,ic NSL import,import,Z7,1686.96,0,MW,True
Generator,ic ElecLink import,import,Z15,1204.97,0,MW,True
Generator,ic Viking Link import,import,Z12,1686.96,0,MW,True
Generator,ic Greenlink import,import,Z13,602.484,0,MW,True
Generator,ic GridLink import,import,Z15,1686.96,0,MW,True
Generator,ic NeuConnect import,import,Z15,1686.96,0,MW,True
Generator,ic NorthConnect import,import,Z2,1686.96,0,MW,True
Generator,ic FAB Link import,import,Z17,1686.96,0,MW,True
Generator,ic BritNed export,export,Z15,1204.97,0,MW,True
Generator,ic EastWest export,export,Z9,722.981,0,MW,True
Generator,ic Moyle export,export,Z5,722.981,0,MW,True
Generator,ic Nemo export,export,Z15,1204.97,0,MW,True
Generator,ic IFA export,export,Z15,2409.94,0,MW,True
Generator,ic IFA2 export,export,Z16,1204.97,0,MW,True
Generator,ic NSL export,export,Z7,1686.96,0,MW,True
Generator,ic ElecLink export,export,Z15,1204.97,0,MW,True
Generator,ic Viking Link export,export,Z12,1686.96,0,MW,True
Generator,ic Greenlink export,export,Z13,602.484,0,MW,True
Generator,ic GridLink export,export,Z15,1686.96,0,MW,True
Generator,ic NeuConnect export,export,Z15,1686.96,0,MW,True
Generator,ic NorthConnect export,export,Z2,1686.96,0,MW,True
Generator,ic FAB Link export,export,Z17,1686.96,0,MW,True
Generator,onwind Z1_1,onwind,Z1_1,355.891,0,MW,False
Generator,onwind Z1_2,onwind,Z1_2,757.029,0,MW,False
Generator,onwind Z1_3,onwind,Z1_3,3642.51,0,MW,False
Generator,onwind Z1_4,onwind,Z1_4,0,0,MW,False
Generator,onwind Z2,onwind,Z2,0,0,MW,False
Generator,onwind Z3,onwind,Z3,0,0,MW,False
Generator,onwind Z4,onwind,Z4,791.303,0,MW,False
Generator,onwind Z5,onwind,Z5,0,0,MW,False
Generator,onwind Z6,onwind,Z6,3094.28,0,MW,False
Generator,onwind Z7,onwind,Z7,0,0,MW,False
Generator,onwind Z8,onwind,Z8,3389.22,0,MW,False
Generator,onwind Z9,onwind,Z9,0,0,MW,False
Generator,onwind Z10,onwind,Z10,1622.84,0,MW,False
Generator,onwind Z11,onwind,Z11,0,0,MW,False
Generator,onwind Z12,onwind,Z12,4965.91,0,MW,False
Generator,onwind Z13,onwind,Z13,1104.05,0,MW,False
Generator,onwind Z14,onwind,Z14,0,0,MW,False
Generator,onwind Z15,onwind,Z15,864.967,0,MW,False
Generator,onwind Z16,onwind,Z16,2849.69,0,MW,False
Generator,onwind Z17,onwind,Z17,4254.51,0,MW,False
Generator,onwind_existing Z1_1,onwind,Z1_1,454.2,0,MW,True
Generator,onwind_existing Z1_2,onwind,Z1_2,37.8,0,MW,True
Generator,onwind_existing Z1_3,onwind,Z1_3,1633.6,0,MW,True
Generator,onwind_existing Z1_4,onwind,Z1_4,1125,0,MW,True
Generator,onwind_existing Z2,onwind,Z2,904.3,0,MW,True
Generator,onwind_existing Z3,onwind,Z3,635.75,0,MW,True
Generator,onwind_existing Z4,onwind,Z4,322.9,0,MW,True
Generator,onwind_existing Z5,onwind,Z5,4355.85,0,MW,True
Generator,onwind_existing Z6,onwind,Z6,2722.7,0,MW,True
Generator,onwind_existing Z7,onwind,Z7,607.85,0,MW,True
Generator,onwind_existing Z8,onwind,Z8,662.9,0,MW,True
Generator,onwind_existing Z9,onwind,Z9,667.7,0,MW,True
