component,carrier,gbp_per_yr,kind,is_memo,note
Generator,gas,664304329.35,capex,False,
Generator,offwind,3863627200.00,capex,False,
Generator,onwind,4422952691.46,capex,False,
Generator,solar,3656914299.11,capex,False,
StorageUnit,battery,8996227.62,capex,False,
Generator,blue_h2,350000000.36,opex,False,
Generator,export,-2484072685.64,opex,False,
Generator,gas,705640088.25,opex,False,
Generator,import,5089483803.96,opex,False,
Generator,nuclear,268563205.49,opex,False,
Generator,offwind,3196768.90,opex,False,
Generator,onwind,194449630.93,opex,False,
StorageUnit,battery,750988.18,opex,False,
memo,all,12121679196.52,memo_lp_objective,True,not additive with component rows
memo,all,4623127351.46,memo_fixed_asset_fom,True,not additive with component rows
memo,all,16744806547.98,total,True,not additive with component rows
