metric,zone,value
shadow_carbon_price_gbp_per_t,GB,127.717
demand_weighted_price_gbp_per_mwh,Z10,68.6094
demand_weighted_price_gbp_per_mwh,Z11,68.6093
demand_weighted_price_gbp_per_mwh,Z12,68.6095
demand_weighted_price_gbp_per_mwh,Z13,68.6095
demand_weighted_price_gbp_per_mwh,Z14,68.6095
demand_weighted_price_gbp_per_mwh,Z15,68.6095
demand_weighted_price_gbp_per_mwh,Z16,68.6095
demand_weighted_price_gbp_per_mwh,Z17,68.0435
demand_weighted_price_gbp_per_mwh,Z1_1,67.5172
demand_weighted_price_gbp_per_mwh,Z1_2,67.5173
demand_weighted_price_gbp_per_mwh,Z1_3,67.5172
demand_weighted_price_gbp_per_mwh,Z1_4,67.5172
demand_weighted_price_gbp_per_mwh,Z2,67.5171
demand_weighted_price_gbp_per_mwh,Z3,67.5404
demand_weighted_price_gbp_per_mwh,Z4,67.5404
demand_weighted_price_gbp_per_mwh,Z5,67.5404
demand_weighted_price_gbp_per_mwh,Z6,67.5404
demand_weighted_price_gbp_per_mwh,Z7,67.5404
demand_weighted_price_gbp_per_mwh,Z8,67.5403
demand_weighted_price_gbp_per_mwh,Z9,67.5404
demand_weighted_price_gbp_per_mwh,Teesside H2,72.5543
