link,bus0,bus1,p_nom_existing_mw,p_nom_new_mw,p_nom_total_mw,twh_forward,twh_reverse,max_utilisation,hours_congested_share
Z1_3-Z1_1,Z1_3,Z1_1,3500,0,3500,0.00305328,4.65492,0.414071,0
Z1_3-Z1_2,Z1_3,Z1_2,3500,0,3500,1.58479,0.0870424,0.186054,0
Z2-Z1_3,Z2,Z1_3,6000,0,6000,0.000243951,18.8279,0.950178,0
Z7-Z2,Z7,Z2,6000,0,6000,0.00949127,23.7197,1,0.00513699
Z9-Z3,Z9,Z3,8000,0,8000,0.0414946,27.8591,1,0.00342466
Z1_4-Z1_2,Z1_4,Z1_2,2000,0,2000,0.000202418,4.8267,0.64405,0
Z1_4-Z1_3,Z1_4,Z1_3,3000,0,3000,0.000512684,6.32475,0.577129,0
Z2-Z1_4,Z2,Z1_4,4000,0,4000,0.00245881,12.5009,0.938316,0
Z3-Z2,Z3,Z2,6000,0,6000,0.0175898,15.6733,1,0.0010274
Z4-Z3,Z4,Z3,8000,0,8000,6.34177,0.0177393,0.290687,0
Z5-Z3,Z5,Z3,8000,0,8000,2.16713,6.58365,0.459154,0
Z6-Z5,Z6,Z5,8000,0,8000,5.22796,0.112122,0.294749,0
Z7-Z6,Z7,Z6,8000,0,8000,2.09962,11.2388,0.807219,0
Z8-Z7,Z8,Z7,6000,0,6000,0.792267,14.1798,0.977937,0
Z9-Z7,Z9,Z7,6000,0,6000,0.0100622,19.5561,0.999937,0.000684932
Z9-Z8,Z9,Z8,6000,0,6000,0.782103,6.93503,0.624695,0
Z10-Z8,Z10,Z8,8000,0,8000,2.09475,19.2599,1,0.0452055
Z11-Z9,Z11,Z9,8000,0,8000,2.6065,24.3297,1,0.075
Z11-Z10,Z11,Z10,8000,0,8000,0.0053406,12.5602,0.517154,0
Z12-Z10,Z12,Z10,8000,0,8000,4.09868,11.1808,0.924742,0
Z12-Z11,Z12,Z11,8000,0,8000,8.57996,3.10718,0.97938,0
Z13-Z11,Z13,Z11,5000,0,5000,9.93198,6.70334,0.999217,0.0130137
Z13-Z12,Z13,Z12,5000,0,5000,4.01057,6.02492,1,0.00239726
Z14-Z12,Z14,Z12,10000,0,10000,0.00941658,28.3361,0.836084,0
Z15-Z12,Z15,Z12,6000,0,6000,4.9235,20.4792,1,0.104452
Z15-Z14,Z15,Z14,10000,0,10000,13.4259,2.5672,0.466996,0
Z16-Z13,Z16,Z13,6000,0,6000,0.702653,12.7224,0.992032,0.000342466
Z16-Z14,Z16,Z14,10000,0,10000,14.3081,0.000142525,0.434267,0
Z16-Z15,Z16,Z15,6000,0,6000,8.19259,4.7434,0.844211,0
Z17-Z13,Z17,Z13,4000,0,4000,12.0555,1.35941,1,0.0171233
Z17-Z16,Z17,Z16,4000,0,4000,21.553,0,1,0.0729452
