component,carrier,gbp_per_yr,kind,is_memo,note
Generator,gas,669471600.56,capex,False,
Generator,offwind,3863627200.00,capex,False,
Generator,onwind,3374245383.75,capex,False,
Generator,solar,3554935127.75,capex,False,
StorageUnit,battery,8997683.61,capex,False,
Generator,export,-1964475396.86,opex,False,
Generator,gas,720039837.45,opex,False,
Generator,import,3798181506.40,opex,False,
Generator,nuclear,284107967.07,opex,False,
Generator,offwind,3198815.21,opex,False,
Generator,onwind,166629342.20,opex,False,
StorageUnit,battery,750351.36,opex,False,
memo,all,9856582067.04,memo_lp_objective,True,not additive with component rows
memo,all,4623127351.46,memo_fixed_asset_fom,True,not additive with component rows
memo,all,14479709418.50,total,True,not additive with component rows
