metric,zone,value
shadow_carbon_price_gbp_per_t,GB,52.4758
demand_weighted_price_gbp_per_mwh,Z10,60.8449
demand_weighted_price_gbp_per_mwh,Z11,60.845
demand_weighted_price_gbp_per_mwh,Z12,60.8448
demand_weighted_price_gbp_per_mwh,Z13,60.8449
demand_weighted_price_gbp_per_mwh,Z14,60.8448
demand_weighted_price_gbp_per_mwh,Z15,60.8449
demand_weighted_price_gbp_per_mwh,Z16,60.8448
demand_weighted_price_gbp_per_mwh,Z17,60.4715
demand_weighted_price_gbp_per_mwh,Z1_1,60.7845
demand_weighted_price_gbp_per_mwh,Z1_2,60.7845
demand_weighted_price_gbp_per_mwh,Z1_3,60.7845
demand_weighted_price_gbp_per_mwh,Z1_4,60.7845
demand_weighted_price_gbp_per_mwh,Z2,60.7845
demand_weighted_price_gbp_per_mwh,Z3,60.8013
demand_weighted_price_gbp_per_mwh,Z4,60.8013
demand_weighted_price_gbp_per_mwh,Z5,60.8013
demand_weighted_price_gbp_per_mwh,Z6,60.8014
demand_weighted_price_gbp_per_mwh,Z7,60.8013
demand_weighted_price_gbp_per_mwh,Z8,60.8013
demand_weighted_price_gbp_per_mwh,Z9,60.8013
