link,bus0,bus1,p_nom_existing_mw,p_nom_new_mw,p_nom_total_mw,twh_forward,twh_reverse,max_utilisation,hours_congested_share
Z1_3-Z1_1,Z1_3,Z1_1,3500,0,3500,0.00291291,4.81399,0.416286,0
Z1_3-Z1_2,Z1_3,Z1_2,3500,0,3500,1.75964,0.0784464,0.198113,0
Z2-Z1_3,Z2,Z1_3,6000,0,6000,0.000215151,19.5509,0.928067,0
Z7-Z2,Z7,Z2,6000,0,6000,0.0336093,25.0396,1,0.0332192
Z9-Z3,Z9,Z3,8000,0,8000,0.155163,26.0673,0.999848,0.00445205
Z1_4-Z1_2,Z1_4,Z1_2,2000,0,2000,0.000206483,4.92812,0.635264,0
Z1_4-Z1_3,Z1_4,Z1_3,3000,0,3000,0.000642317,6.60975,0.590668,0
Z2-Z1_4,Z2,Z1_4,4000,0,4000,0.00269753,12.9443,0.968223,0
Z3-Z2,Z3,Z2,6000,0,6000,0.0114196,17.1236,1,0.00136986
Z4-Z3,Z4,Z3,8000,0,8000,4.55766,0.0481998,0.13414,0
Z5-Z3,Z5,Z3,8000,0,8000,1.26978,7.25595,0.457487,0
Z6-Z5,Z6,Z5,8000,0,8000,3.22605,1.18099,0.353805,0
Z7-Z6,Z7,Z6,8000,0,8000,2.79986,7.24553,0.649314,0
Z8-Z7,Z8,Z7,6000,0,6000,1.07067,14.7707,0.983296,0
Z9-Z7,Z9,Z7,6000,0,6000,0.00689311,17.6932,0.918484,0
Z9-Z8,Z9,Z8,6000,0,6000,1.4386,5.39579,0.694255,0
Z10-Z8,Z10,Z8,8000,0,8000,3.5405,13.5346,1,0.00684932
Z11-Z9,Z11,Z9,8000,0,8000,4.10844,20.217,1,0.0174658
Z11-Z10,Z11,Z10,8000,0,8000,0.00583674,11.1324,0.491282,0
Z12-Z10,Z12,Z10,8000,0,8000,5.9202,7.6737,0.791501,0
Z12-Z11,Z12,Z11,8000,0,8000,11.3088,1.93583,0.862996,0
Z13-Z11,Z13,Z11,5000,0,5000,11.4319,4.89976,0.999966,0.0208904
Z13-Z12,Z13,Z12,5000,0,5000,3.91706,6.15113,1,0.00308219
Z14-Z12,Z14,Z12,10000,0,10000,0.0227947,25.3184,0.832842,0
Z15-Z12,Z15,Z12,6000,0,6000,6.30323,16.9161,0.999988,0.044863
Z15-Z14,Z15,Z14,10000,0,10000,15.5429,1.80758,0.467095,0
Z16-Z13,Z16,Z13,6000,0,6000,1.11748,9.96845,0.942542,0
Z16-Z14,Z16,Z14,10000,0,10000,14.2694,0,0.451497,0
Z16-Z15,Z16,Z15,6000,0,6000,6.7297,6.19559,0.908616,0
Z17-Z13,Z17,Z13,4000,0,4000,14.0972,0.57723,1,0.0260274
Z17-Z16,Z17,Z16,4000,0,4000,21.1291,0,1,0.0458904
