link,bus0,bus1,p_nom_existing_mw,p_nom_new_mw,p_nom_total_mw,twh_forward,twh_reverse,max_utilisation,hours_congested_share
Z1_3-Z1_1,Z1_3,Z1_1,3500,0,3500,0.00276737,4.80637,0.41553,0
Z1_3-Z1_2,Z1_3,Z1_2,3500,0,3500,1.759,0.0787085,0.198175,0
Z2-Z1_3,Z2,Z1_3,6000,0,6000,0.000183221,19.5155,0.925556,0
Z7-Z2,Z7,Z2,6000,0,6000,0.0273933,25.1578,1,0.0291096
Z9-Z3,Z9,Z3,8000,0,8000,0.149069,26.5857,1,0.00787671
Z1_4-Z1_2,Z1_4,Z1_2,2000,0,2000,0.000175312,4.92009,0.638372,0
Z1_4-Z1_3,Z1_4,Z1_3,3000,0,3000,0.000563105,6.60077,0.594815,0
Z2-Z1_4,Z2,Z1_4,4000,0,4000,0.00258163,12.9174,0.96543,0
Z3-Z2,Z3,Z2,6000,0,6000,0.0119766,17.145,1,0.0010274
Z4-Z3,Z4,Z3,8000,0,8000,4.55335,0.0486156,0.13414,0
Z5-Z3,Z5,Z3,8000,0,8000,1.54009,7.00812,0.4499,0
Z6-Z5,Z6,Z5,8000,0,8000,3.64993,0.728339,0.353666,0
Z7-Z6,Z7,Z6,8000,0,8000,2.62101,8.58402,0.703739,0
Z8-Z7,Z8,Z7,6000,0,6000,0.988125,15.6613,0.997452,0.0010274
Z9-Z7,Z9,Z7,6000,0,6000,0.00701938,18.1296,0.954787,0
Z9-Z8,Z9,Z8,6000,0,6000,1.69207,5.09691,0.681101,0
Z10-Z8,Z10,Z8,8000,0,8000,3.59663,13.636,1,0.00787671
Z11-Z9,Z11,Z9,8000,0,8000,4.08591,20.6394,1,0.0212329
Z11-Z10,Z11,Z10,8000,0,8000,0.00745517,11.0753,0.492563,0
Z12-Z10,Z12,Z10,8000,0,8000,5.96261,7.74427,0.808028,0
Z12-Z11,Z12,Z11,8000,0,8000,11.264,1.9778,0.876873,0
Z13-Z11,Z13,Z11,5000,0,5000,11.1538,5.13586,0.999968,0.0243151
Z13-Z12,Z13,Z12,5000,0,5000,3.76946,6.48326,0.999925,0.00308219
Z14-Z12,Z14,Z12,10000,0,10000,0.0203188,25.5402,0.836497,0
Z15-Z12,Z15,Z12,6000,0,6000,6.33298,17.0766,0.999957,0.0575342
Z15-Z14,Z15,Z14,10000,0,10000,15.6126,1.86545,0.467041,0
Z16-Z13,Z16,Z13,6000,0,6000,1.16122,9.83053,0.942561,0
Z16-Z14,Z16,Z14,10000,0,10000,14.1813,0,0.439738,0
Z16-Z15,Z16,Z15,6000,0,6000,6.71857,6.28442,0.895634,0
Z17-Z13,Z17,Z13,4000,0,4000,14.1662,0.610725,1,0.0256849
Z17-Z16,Z17,Z16,4000,0,4000,21.0122,0,1,0.0339041
