component,carrier,gbp_per_yr,kind,is_memo,note
Generator,gas,669416200.00,capex,False,
Generator,nuclear,520014880.43,capex,False,
Generator,offwind,3863627200.00,capex,False,
Generator,onwind,3394268866.02,capex,False,
Generator,solar,3554663517.79,capex,False,
StorageUnit,battery,8993184.04,capex,False,
StorageUnit,pumped_hydro,113120000.00,capex,False,
Generator,blue_h2,350000000.33,opex,False,
Generator,export,-1973111346.47,opex,False,
Generator,gas,705637691.02,opex,False,
Generator,import,3806501413.06,opex,False,
Generator,nuclear,283805410.81,opex,False,
Generator,offwind,3193965.52,opex,False,
Generator,onwind,167236341.22,opex,False,
StorageUnit,battery,770632.90,opex,False,
memo,all,10211875724.78,memo_lp_objective,True,not additive with component rows
memo,all,5256262231.90,memo_fixed_asset_fom,True,not additive with component rows
memo,all,15468137956.67,total,True,not additive with component rows
