metric,zone,value
shadow_carbon_price_gbp_per_t,GB,52.4785
demand_weighted_price_gbp_per_mwh,Z10,61.0325
demand_weighted_price_gbp_per_mwh,Z11,61.0325
demand_weighted_price_gbp_per_mwh,Z12,61.0325
demand_weighted_price_gbp_per_mwh,Z13,61.0325
demand_weighted_price_gbp_per_mwh,Z14,61.0325
demand_weighted_price_gbp_per_mwh,Z15,61.0325
demand_weighted_price_gbp_per_mwh,Z16,61.0325
demand_weighted_price_gbp_per_mwh,Z17,60.6598
demand_weighted_price_gbp_per_mwh,Z1_1,60.9701
demand_weighted_price_gbp_per_mwh,Z1_2,60.9701
demand_weighted_price_gbp_per_mwh,Z1_3,60.9701
demand_weighted_price_gbp_per_mwh,Z1_4,60.9701
demand_weighted_price_gbp_per_mwh,Z2,60.9701
demand_weighted_price_gbp_per_mwh,Z3,60.9868
demand_weighted_price_gbp_per_mwh,Z4,60.9868
demand_weighted_price_gbp_per_mwh,Z5,60.9868
demand_weighted_price_gbp_per_mwh,Z6,60.9868
demand_weighted_price_gbp_per_mwh,Z7,60.9868
demand_weighted_price_gbp_per_mwh,Z8,60.9868
demand_weighted_price_gbp_per_mwh,Z9,60.9868
demand_weighted_price_gbp_per_mwh,Teesside H2,71.0496
