link,bus0,bus1,p_nom_existing_mw,p_nom_new_mw,p_nom_total_mw,twh_forward,twh_reverse,max_utilisation,hours_congested_share
Z1_3-Z1_1,Z1_3,Z1_1,3500,0,3500,0.00285209,4.81072,0.413326,0
Z1_3-Z1_2,Z1_3,Z1_2,3500,0,3500,1.75458,0.0785518,0.198188,0
Z2-Z1_3,Z2,Z1_3,6000,0,6000,0.000204494,19.5203,0.932212,0
Z7-Z2,Z7,Z2,6000,0,6000,0.0193786,24.9437,1,0.0318493
Z9-Z3,Z9,Z3,8000,0,8000,0.152887,25.9395,0.999046,0.00410959
Z1_4-Z1_2,Z1_4,Z1_2,2000,0,2000,0.000202765,4.92064,0.631908,0
Z1_4-Z1_3,Z1_4,Z1_3,3000,0,3000,0.000682533,6.59715,0.586195,0
Z2-Z1_4,Z2,Z1_4,4000,0,4000,0.00560703,12.9292,0.967224,0
Z3-Z2,Z3,Z2,6000,0,6000,0.0112526,17.0308,1,0.0010274
Z4-Z3,Z4,Z3,8000,0,8000,4.55779,0.0487498,0.13414,0
Z5-Z3,Z5,Z3,8000,0,8000,1.24681,7.22621,0.459083,0
Z6-Z5,Z6,Z5,8000,0,8000,3.16004,1.23971,0.38741,0
Z7-Z6,Z7,Z6,8000,0,8000,2.79616,7.1188,0.644279,0
Z8-Z7,Z8,Z7,6000,0,6000,1.05889,14.6004,0.981356,0
Z9-Z7,Z9,Z7,6000,0,6000,0.00604779,17.5659,0.908617,0
Z9-Z8,Z9,Z8,6000,0,6000,1.42084,5.41099,0.688444,0
Z10-Z8,Z10,Z8,8000,0,8000,3.41012,13.1974,1,0.00650685
Z11-Z9,Z11,Z9,8000,0,8000,4.01991,19.8903,1,0.019863
Z11-Z10,Z11,Z10,8000,0,8000,0.00489332,11.0395,0.488369,0
Z12-Z10,Z12,Z10,8000,0,8000,5.82388,7.44203,0.795975,0
Z12-Z11,Z12,Z11,8000,0,8000,11.2894,1.87295,0.867652,0
Z13-Z11,Z13,Z11,5000,0,5000,11.3786,4.76312,1,0.0243151
Z13-Z12,Z13,Z12,5000,0,5000,3.91395,6.13044,0.999922,0.00308219
Z14-Z12,Z14,Z12,10000,0,10000,0.0128446,25.2131,0.83175,0
Z15-Z12,Z15,Z12,6000,0,6000,6.12371,16.7316,1,0.0643836
Z15-Z14,Z15,Z14,10000,0,10000,15.4909,1.7558,0.466983,0
Z16-Z13,Z16,Z13,6000,0,6000,1.04632,9.79935,0.939001,0
Z16-Z14,Z16,Z14,10000,0,10000,14.2875,0,0.441954,0
Z16-Z15,Z16,Z15,6000,0,6000,6.65467,6.10222,0.910577,0
Z17-Z13,Z17,Z13,4000,0,4000,13.9391,0.569074,1,0.0243151
Z17-Z16,Z17,Z16,4000,0,4000,20.9211,0,1,0.0493151
