scenario,total_cost_gbp_bn_per_yr,lp_objective_gbp_bn_per_yr,fixed_asset_cost_gbp_bn_per_yr,shadow_carbon_price_gbp_per_t,emissions_mt,net_imports_twh,onwind_gw,offwind_gw,solar_gw,gas_gw,gas_ccs_gw,nuclear_gw,battery_gw,onwind_new_gw,offwind_new_gw,solar_new_gw,battery_new_gw,electrolysis_gw,h2_store_gwh,h2_turbine_gw_el,teesside_green_h2_twh,teesside_blue_h2_twh,curtailed_share_wind_solar
uncapped,15.1089,10.4858,4.62313,0,4.57562,16.0676,36.4426,27.856,97.0193,29.6883,0,4.458,14.6534,20.1376,0,82.8833,2.60985e-05,0,0,0,0,5,0.0159122
cap30,14.1311,9.50802,4.62313,0,28.2444,-33.8146,31.8948,27.856,92.953,30.1263,0,4.458,14.6534,15.5898,0,78.817,2.51458e-09,0,0,0,0,5,0.0102271
cap20,14.3432,9.72009,4.62313,32.608,20,-24.824,36.0143,27.856,96.9017,29.6902,1.07288e-08,4.458,14.6538,19.7094,0,82.7657,0.000464669,0,0,4.36556e-07,0,5,0.0154547
cap10,14.6695,10.0463,4.62313,32.6084,10,1.95114,36.1898,27.856,96.8247,29.6892,7.28819e-06,4.458,14.6536,19.8849,0,82.6887,0.000211132,0,0,9.51905e-07,0,5,0.0155738
cap5,14.835,10.2119,4.62313,52.4789,5,14.6393,36.5017,27.856,97.0085,29.688,0,4.458,14.6534,20.1967,0,82.8725,5.22494e-10,0,0,0,0,5,0.01597
cap2,16.1826,11.5595,4.62313,910.466,2,-2.73893,44.0443,27.856,103.388,23.4076,3.6162,4.458,20.2015,27.7394,0,89.2517,5.5481,0,91.315,1.08044,0,6.50091,0.0267149
cap5_no_h2,14.4797,9.85658,4.62313,52.4758,5,14.7786,36.3264,27.856,97.0155,29.6888,0,4.458,14.6535,20.0215,0,82.8795,0.000102549,0,0,0,0,0,0.01584
cap5_ee_demand,15.9682,11.3451,4.62313,225.589,5.00001,13.9803,42.0409,27.856,104.704,31.7783,0,4.458,17.3262,25.736,0,90.5685,2.67281,0,0,0,0,1.3,0.0215759
cap5_tx_expansion,14.8349,10.2118,4.62313,52.479,5,15.2435,36.2576,27.856,97.0315,29.689,0,4.458,14.6534,19.9527,0,82.8955,4.23e-05,0,0,0,0,5,0.0158113
cap5_import_100,16.7448,12.1217,4.62313,127.717,5,-4.30678,43.9667,27.856,99.4793,29.4648,0,4.458,14.6534,27.6618,0,85.3433,6.93696e-05,0,0,0,0,5,0.0282709
cap5_steel,15.0149,10.3918,4.62313,52.4787,5,14.0085,37.6417,27.856,97.6707,29.9262,0,4.458,14.6534,21.3367,0,83.5347,3.29905e-11,0,0,0,0,5,0.0167729
