metric,zone,value
shadow_carbon_price_gbp_per_t,GB,0
demand_weighted_price_gbp_per_mwh,Z10,60.7673
demand_weighted_price_gbp_per_mwh,Z11,60.7673
demand_weighted_price_gbp_per_mwh,Z12,60.7672
demand_weighted_price_gbp_per_mwh,Z13,60.7673
demand_weighted_price_gbp_per_mwh,Z14,60.7672
demand_weighted_price_gbp_per_mwh,Z15,60.7672
demand_weighted_price_gbp_per_mwh,Z16,60.7672
demand_weighted_price_gbp_per_mwh,Z17,60.3852
demand_weighted_price_gbp_per_mwh,Z1_1,60.705
demand_weighted_price_gbp_per_mwh,Z1_2,60.705
demand_weighted_price_gbp_per_mwh,Z1_3,60.705
demand_weighted_price_gbp_per_mwh,Z1_4,60.705
demand_weighted_price_gbp_per_mwh,Z2,60.705
demand_weighted_price_gbp_per_mwh,Z3,60.7217
demand_weighted_price_gbp_per_mwh,Z4,60.7217
demand_weighted_price_gbp_per_mwh,Z5,60.7216
demand_weighted_price_gbp_per_mwh,Z6,60.7216
demand_weighted_price_gbp_per_mwh,Z7,60.7217
demand_weighted_price_gbp_per_mwh,Z8,60.7216
demand_weighted_price_gbp_per_mwh,Z9,60.7217
demand_weighted_price_gbp_per_mwh,Teesside H2,71.1
