link,bus0,bus1,p_nom_existing_mw,p_nom_new_mw,p_nom_total_mw,twh_forward,twh_reverse,max_utilisation,hours_congested_share
Z1_3-Z1_1,Z1_3,Z1_1,3500,0,3500,0.00307492,4.81467,0.417497,0
Z1_3-Z1_2,Z1_3,Z1_2,3500,0,3500,1.75711,0.0787019,0.198057,0
Z2-Z1_3,Z2,Z1_3,6000,0,6000,0.000204887,19.55,0.924045,0
Z7-Z2,Z7,Z2,6000,0,6000,0.0171226,24.9595,1,0.0356164
Z9-Z3,Z9,Z3,8000,0,8000,0.140846,26.2427,0.99993,0.00547945
Z1_4-Z1_2,Z1_4,Z1_2,2000,0,2000,0.00019438,4.92839,0.639435,0
Z1_4-Z1_3,Z1_4,Z1_3,3000,0,3000,0.000644012,6.60725,0.59623,0
Z2-Z1_4,Z2,Z1_4,4000,0,4000,0.00590392,12.949,0.960456,0
Z3-Z2,Z3,Z2,6000,0,6000,0.0118186,17.1023,1,0.0010274
Z4-Z3,Z4,Z3,8000,0,8000,4.55755,0.0485029,0.13414,0
Z5-Z3,Z5,Z3,8000,0,8000,1.35468,7.09236,0.456385,0
Z6-Z5,Z6,Z5,8000,0,8000,3.33629,1.02422,0.329706,0
Z7-Z6,Z7,Z6,8000,0,8000,2.75682,7.63756,0.660851,0
Z8-Z7,Z8,Z7,6000,0,6000,0.997953,14.9471,0.980065,0
Z9-Z7,Z9,Z7,6000,0,6000,0.00594047,17.9472,0.914279,0
Z9-Z8,Z9,Z8,6000,0,6000,1.40868,5.37575,0.687521,0
Z10-Z8,Z10,Z8,8000,0,8000,3.29007,13.5346,1,0.00719178
Z11-Z9,Z11,Z9,8000,0,8000,3.78701,20.3714,1,0.0202055
Z11-Z10,Z11,Z10,8000,0,8000,0.00433317,11.3264,0.500953,0
Z12-Z10,Z12,Z10,8000,0,8000,5.59425,7.61481,0.793527,0
Z12-Z11,Z12,Z11,8000,0,8000,11.2092,1.90774,0.869152,0
Z13-Z11,Z13,Z11,5000,0,5000,11.3467,4.8919,1,0.0243151
Z13-Z12,Z13,Z12,5000,0,5000,3.93407,6.18453,0.999938,0.00308219
Z14-Z12,Z14,Z12,10000,0,10000,0.00867669,25.521,0.835458,0
Z15-Z12,Z15,Z12,6000,0,6000,5.89939,16.6987,0.999764,0.0390411
Z15-Z14,Z15,Z14,10000,0,10000,15.5404,1.76771,0.467144,0
Z16-Z13,Z16,Z13,6000,0,6000,0.903518,9.8657,0.946676,0
Z16-Z14,Z16,Z14,10000,0,10000,14.354,0,0.44367,0
Z16-Z15,Z16,Z15,6000,0,6000,6.55936,5.97802,0.913796,0
Z17-Z13,Z17,Z13,4000,0,4000,14.019,0.604895,1,0.0239726
Z17-Z16,Z17,Z16,4000,0,4000,21.1335,0,1,0.0520548
