component,carrier,gbp_per_yr,kind,is_memo,note
Generator,gas,715804737.91,capex,False,
Generator,nuclear,520014880.43,capex,False,
Generator,offwind,3863627200.00,capex,False,
Generator,onwind,3503102545.45,capex,False,
Generator,solar,3518442091.34,capex,False,
StorageUnit,battery,8993396.11,capex,False,
StorageUnit,pumped_hydro,113120000.00,capex,False,
Generator,blue_h2,349999998.62,opex,False,
Generator,export,-2007816187.14,opex,False,
Generator,gas,705610664.17,opex,False,
Generator,import,3777649937.92,opex,False,
Generator,nuclear,283169761.71,opex,False,
Generator,offwind,3186744.91,opex,False,
Generator,onwind,170061902.37,opex,False,
StorageUnit,battery,767749.42,opex,False,
memo,all,10269473191.36,memo_lp_objective,True,not additive with component rows
memo,all,5256262231.90,memo_fixed_asset_fom,True,not additive with component rows
memo,all,15525735423.26,total,True,not additive with component rows
