link,bus0,bus1,p_nom_existing_mw,p_nom_new_mw,p_nom_total_mw,twh_forward,twh_reverse,max_utilisation,hours_congested_share
Z1_3-Z1_1,Z1_3,Z1_1,3500,0,3500,0.00309959,4.82534,0.41478,0
Z1_3-Z1_2,Z1_3,Z1_2,3500,0,3500,1.75126,0.0795883,0.198351,0
Z2-Z1_3,Z2,Z1_3,6000,0,6000,0.000122848,19.5287,0.945839,0
Z7-Z2,Z7,Z2,6000,0,6000,0.041256,24.4872,1,0.0222603
Z9-Z3,Z9,Z3,8000,0,8000,0.198406,26.3889,0.999889,0.006621
Z1_4-Z1_2,Z1_4,Z1_2,2000,0,2000,3.75103e-05,4.92318,0.632095,0
Z1_4-Z1_3,Z1_4,Z1_3,3000,0,3000,0.000452035,6.59527,0.585919,0
Z2-Z1_4,Z2,Z1_4,4000,0,4000,0.00399217,12.9376,0.981316,0
Z3-Z2,Z3,Z2,6000,0,6000,0.0124559,16.6949,1,0.000456621
Z4-Z3,Z4,Z3,8000,0,8000,4.55367,0.0471341,0.134354,0
Z5-Z3,Z5,Z3,8000,0,8000,1.66738,6.88842,0.476773,0
Z6-Z5,Z6,Z5,8000,0,8000,3.94918,0.670785,0.366145,0
Z7-Z6,Z7,Z6,8000,0,8000,2.63565,8.93899,0.745836,0
Z8-Z7,Z8,Z7,6000,0,6000,1.10401,15.3275,0.999505,0.00205479
Z9-Z7,Z9,Z7,6000,0,6000,0.00865979,18.1439,0.967608,0
Z9-Z8,Z9,Z8,6000,0,6000,1.52182,5.3929,0.68592,0
Z10-Z8,Z10,Z8,8000,0,8000,3.60492,14.2141,1,0.0103881
Z11-Z9,Z11,Z9,8000,0,8000,4.28594,20.9246,1,0.0226027
Z11-Z10,Z11,Z10,8000,0,8000,0.00697079,11.171,0.551499,0
Z12-Z10,Z12,Z10,8000,0,8000,5.90922,8.15518,0.775426,0
Z12-Z11,Z12,Z11,8000,0,8000,11.0962,2.17818,0.81042,0
Z13-Z11,Z13,Z11,5000,0,5000,11.5797,5.23313,0.999928,0.0295662
Z13-Z12,Z13,Z12,5000,0,5000,4.0991,6.04843,1,0.00319635
Z14-Z12,Z14,Z12,10000,0,10000,0.0203889,25.4458,0.857251,0
Z15-Z12,Z15,Z12,6000,0,6000,6.34491,17.1662,1,0.0659817
Z15-Z14,Z15,Z14,10000,0,10000,15.5072,1.90619,0.466691,0
Z16-Z13,Z16,Z13,6000,0,6000,1.10163,10.1866,0.998346,0.000114155
Z16-Z14,Z16,Z14,10000,0,10000,14.4214,2.39912e-05,0.457562,0
Z16-Z15,Z16,Z15,6000,0,6000,6.98618,6.16578,0.915938,0
Z17-Z13,Z17,Z13,4000,0,4000,14.2191,0.605428,1,0.0299087
Z17-Z16,Z17,Z16,4000,0,4000,21.4257,0,1,0.0840183
